,player,team,club,age_years,age_float,age,minutes_90s,tackles,tackles_won,succesful_tackles_pct,tackles_def_3rd,tackles_mid_3rd,dribble_tackles,dribbled_past,dribbles_vs,dribble_tackles_pct,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_pen_area_pct,touches_def_3rd,touches_mid_3rd,miscontrols,dispossessed,passes_received,passes_completed,passes,passes_pct,passes_progressive_distance,assisted_shots,passes_into_final_third,progressive_passes,passes_dead,through_balls,passes_switches,passes_blocked,cards_yellow,cards_red,fouls,fouled,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,sca_fouled,sca_defense,gca_fouled,gca_defense
34,Borna Sosa,Croatia,Stuttgart,24,24.9068,24-331,4.7,14.0,6,0.4286,9.0,3.0,10.0,2.0,12.0,83.3,4.0,0.0,4.0,2,16.0,18.0,0.0,333.0,18.0,0.0541,106.0,138.0,6.0,3.0,216.0,220.0,278.0,79.1,1123.0,2.0,11.0,9.0,40.0,0.0,1.0,5.0,0,0,4,2,0.0,0,14.0,4.0,4.0,50.0,1.0,0.0,0.0,0.0
35,Boualem Khoukhi,Qatar,Al Sadd SC,32,32.4438,32-162,3.0,2.0,2,1.0,2.0,0.0,1.0,1.0,2.0,50.0,6.0,2.0,4.0,3,5.0,18.0,1.0,232.0,52.0,0.2241,151.0,77.0,2.0,1.0,155.0,169.0,197.0,85.8,1402.0,0.0,2.0,4.0,12.0,0.0,1.0,1.0,0,0,1,5,0.0,0,16.0,6.0,7.0,46.2,0.0,0.0,0.0,0.0
36,Bryan Oviedo,Costa Rica,Real Salt Lake,32,32.8301,32-303,2.9,6.0,5,0.8333,3.0,2.0,4.0,2.0,6.0,66.7,3.0,1.0,2.0,3,9.0,7.0,0.0,112.0,12.0,0.1071,49.0,42.0,1.0,0.0,60.0,67.0,89.0,75.3,339.0,0.0,1.0,3.0,10.0,0.0,0.0,5.0,0,0,2,4,0.0,0,14.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0
37,Cameron Carter-Vickers,United States,Celtic,24,24.9644,24-352,1.0,0.0,0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0,0.0,4.0,0.0,64.0,9.0,0.1406,33.0,30.0,0.0,0.0,42.0,50.0,58.0,86.2,356.0,0.0,4.0,2.0,4.0,0.0,1.0,0.0,0,0,0,1,0.0,0,4.0,4.0,4.0,50.0,0.0,0.0,0.0,0.0
38,Carlos Martínez,Costa Rica,AD San Carlos,23,23.7205,23-263,0.5,1.0,1,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,1,2.0,1.0,0.0,20.0,2.0,0.1,9.0,9.0,1.0,1.0,8.0,10.0,15.0,66.7,109.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0,1,0,0.0,0,3.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0
39,Chris Mepham,Wales,Bournemouth,25,25.1178,25-043,3.0,8.0,6,0.75,3.0,5.0,5.0,1.0,6.0,83.3,3.0,2.0,1.0,1,9.0,16.0,0.0,199.0,22.0,0.1106,91.0,99.0,0.0,0.0,130.0,141.0,172.0,82.0,890.0,2.0,7.0,9.0,5.0,0.0,0.0,0.0,1,0,7,1,0.0,0,8.0,7.0,2.0,77.8,0.0,0.0,0.0,0.0
40,Christopher Wooh,Cameroon,Rennes,21,21.2493,21-091,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,2.0,50.0,3.0,2.0,1.0,1,2.0,6.0,0.0,45.0,8.0,0.1778,25.0,18.0,1.0,2.0,28.0,25.0,31.0,80.6,119.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0,0,2,0,0.0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
41,Collins Fai,Cameroon,Al-Ta'ee,30,30.3479,30-127,3.0,5.0,2,0.4,2.0,2.0,3.0,3.0,6.0,50.0,2.0,0.0,2.0,4,9.0,7.0,0.0,169.0,8.0,0.0473,50.0,84.0,1.0,0.0,86.0,99.0,146.0,67.8,811.0,2.0,14.0,6.0,28.0,1.0,1.0,4.0,2,0,4,4,0.0,0,21.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0
42,Connor Roberts,Wales,Burnley,27,27.2356,27-086,2.2,3.0,3,1.0,2.0,1.0,2.0,1.0,3.0,66.7,2.0,2.0,0.0,1,4.0,7.0,0.0,138.0,8.0,0.058,39.0,61.0,0.0,0.0,81.0,92.0,118.0,78.0,686.0,1.0,3.0,7.0,19.0,0.0,0.0,3.0,0,0,0,1,0.0,0,8.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0
43,Cristian Romero,Argentina,Tottenham,24,24.6438,24-235,6.1,5.0,3,0.6,4.0,1.0,4.0,4.0,8.0,50.0,6.0,4.0,2.0,4,9.0,26.0,0.0,428.0,43.0,0.1005,204.0,213.0,5.0,1.0,292.0,337.0,375.0,89.9,2109.0,0.0,12.0,11.0,11.0,0.0,2.0,1.0,2,0,12,3,0.0,0,35.0,12.0,8.0,60.0,0.0,0.0,0.0,0.0
